HASH,METHOD,ADDONS
d242ab2fe9d4085803e5f42c6df207890a8f26af00a63edfe74724533504a83e3b5e8214122128942e6ae9f03e5e32d68e10d60ec866f469e6b52479560033ad,./autogen.sh && ./configure&&make,nan
d242ab2fe9d4085803e5f42c6df207890a8f26af00a63edfe74724533504a83e3b5e8214122128942e6ae9f03e5e32d68e10d60ec866f469e6b52479560033ad,cmake ./,nan
34288e437bc2b760472895788646050c9716e2f71aabc74f2592bd2eab4586c0fb70a734079f8536d106cd62770068a234d90eead8991659abafb820ac1538f6,make,nan
507e490daeb41c214666a4661475d5f743b32bbc9ec07263312bb0816a9017d0b4cae219099a04a7fe7dd0be67351745c0636dc43a0f4675f8d5dce3827fd117,make,nan
4c24debb3f882a38236b6ec330349bd59b0e064e9342b2f908635b33176399e218f3bdac86f0e5022b48b24e4fdcfcbc0307e99a909a06b15effc5b9af355ce8,make,nan
316c4cb549949f7fd90c703780ee9d77019a3de4f7e6acff83e4c0776b3ba479f8231f0515f08bba9ffcaa716207e5f2e0bbe7ce729cd29967915d7ce4dd7e6d,make,nan
9dae3ea839cbb44bdb4dd774e20c62e5a5a95bd70e97507dd8af110eda09150b6c52d4481a2addb70cb617c5c9218010e4976438a6948b48510fd3856b716c62,make,nan
858dae585e0705ea78db02665fe78c72447f2f3a3f3d307c83c72025fa057f5e91c9b25b14f3335ae6c4d4833060e40705b10e364a538b498b469be6710c4cf1,autoreconf -i && ./configure&&make,nan
4c9a516c84c8214504d69168906dd6bf43598071d22c5e38fa53ab7c4e9b56bd6eca0b0ed15765df1e3de5cf38d689f950406253a3c69bc8380eda54ee7f1e0c,./configure&&make,nan
fc6834beb9d360926a964dbf96d36ffc5c45fc14c5566e5408fd5bb5d90be2ffa077f066dd635c26aad4da16626f3eb4d995e15fd72692e1cccb7de686fd8223,make,nan
8febec829683e9c34b2ef0f7a4d65b235bb9cb32535d0ee5f844c279138f2de4bdb11a35f1df0649f3f7a6ee6a5657501ea4b8aedf5a4b313afba82b1623638e,./configure&&make,nan
b497f9b40558f8d83fc6da3eb18fd2c6176e4083f647e8d6fa33353b7a858b5271e9cd4295f3d63d30ef20851e873459cbfd52adf9ac5263fb9b07d76c15b609,make,nan
26084617cd12a6305270069ac2cd4eb82e940e10f79342d436c9a66b9d243ca2fd53e72a16ce9e34faa84d8a955d04757d6c799daf22c4a8eab4478be612b0a5,make,nan
26084617cd12a6305270069ac2cd4eb82e940e10f79342d436c9a66b9d243ca2fd53e72a16ce9e34faa84d8a955d04757d6c799daf22c4a8eab4478be612b0a5,cmake ./,nan
53b2cac570e4894e1541bb409799887c7f9e20f6db592cd3c874ed8ef7e6bec6421528bced297eb29da72a03dc52562df1bc79fb9d4eb1f89be6947cbb0b3610,make,nan
3f96c3a9292451babeee007260a18c5a74355bd6e7b6166b8367b05ea794ba94d32f16eba4fe03a7233246fd808d7ea72806345a9dfd0130cc7f31955b38e42e,make,nan
f23c412659914af1a6acab0fa3443b9e9e0e12d2748f773e274dbbf142faf207a1e2ec8cb4353e36b254e9745140b39f10da315d01b914c104d61791cc2cda87,./configure&&make,nan
f23c412659914af1a6acab0fa3443b9e9e0e12d2748f773e274dbbf142faf207a1e2ec8cb4353e36b254e9745140b39f10da315d01b914c104d61791cc2cda87,./autogen.sh && ./configure&&make,nan
f23c412659914af1a6acab0fa3443b9e9e0e12d2748f773e274dbbf142faf207a1e2ec8cb4353e36b254e9745140b39f10da315d01b914c104d61791cc2cda87,autoreconf -i && ./configure&&make,nan
d0651730da3a5d6861e99396c26f1e618426b67a034b4dba2c49641942dfe75933395d20eaaf60ee2bf090dae106c8b9b1b10c805546c2e09b0eafad8ecf7221,./configure&&make,nan
d0651730da3a5d6861e99396c26f1e618426b67a034b4dba2c49641942dfe75933395d20eaaf60ee2bf090dae106c8b9b1b10c805546c2e09b0eafad8ecf7221,./autogen.sh && ./configure&&make,nan
d0651730da3a5d6861e99396c26f1e618426b67a034b4dba2c49641942dfe75933395d20eaaf60ee2bf090dae106c8b9b1b10c805546c2e09b0eafad8ecf7221,autoreconf -i && ./configure&&make,nan
03a0c1e8d2fa51a481bdffcf14b6e336f9b78db4c2b766bdede50b6c150b9984aeccbdf72759dd047d6d9941a4934850b053150a509ac9448070962077309cc5,make,nan
c4784d2ddf304918ffb35d35d039173a4fc92cb62cdf9fbdc0bc495cd7514bce3520ed1706a41d4b12a039b280a14c676785743e1732cc5f6ed96fd6b9d7634b,make,nan
ee1d8b7d1692714543e1ceb71e781e18fc3c369352085f58b56da4d96311482e7949cf1984103340faac8976023da5783d8acc459a40dd08471a1fa716351164,autoreconf -i && ./configure&&make,nan
18f7d461a1d72ec00f64334705c48dee0190fb267b7fed2805f3f92a8d778f91b5c867c46189cc9b63a8b0ac4e38bb0cbc476f2fa44a88ea8a51c3cb80f432ad,./autogen.sh && ./configure&&make,nan
18f7d461a1d72ec00f64334705c48dee0190fb267b7fed2805f3f92a8d778f91b5c867c46189cc9b63a8b0ac4e38bb0cbc476f2fa44a88ea8a51c3cb80f432ad,autoreconf -i && ./configure&&make,nan
323ff6a646c56150fb3a44bc867bcc3c5a740939eca5ba894cc89719eee9295c18c42f49a887c561fda4fdcfd6a6db38e97089b029eac3399facd6118a2913f7,./autogen.sh && ./configure&&make,nan
323ff6a646c56150fb3a44bc867bcc3c5a740939eca5ba894cc89719eee9295c18c42f49a887c561fda4fdcfd6a6db38e97089b029eac3399facd6118a2913f7,autoreconf -i && ./configure&&make,nan
3ac19d92318506283cc59520ea61f27ae3c29450a4a1292812ba29755fd2765aee795715f8fb964d591e707147d2706eb9c94996fa2e1f7b48893aee4c00294c,make,nan
3cb1c04314a7e3dc4dac816c770688317f7c478b0b0236df17235d94e6d777f9ecf1591ae7a1558a044d299b55070b06ba08917d02825493e077b7c06d4bb8de,./configure&&make,nan
3cb1c04314a7e3dc4dac816c770688317f7c478b0b0236df17235d94e6d777f9ecf1591ae7a1558a044d299b55070b06ba08917d02825493e077b7c06d4bb8de,autoreconf -i && ./configure&&make,nan
aa78cf21a9a9492ec475a2d8b9e93e382dad6942fd9aa3e21ff4eb32639f7cd0fcdc66cdb9e804a0a62e28d580bc3f66b49b742296a2a1cc72086fb2277afb20,make,nan
